ID,INV,DATE,CATALOG,PCODE,QTY,CUSTNUM
1,107707,1997-03-07,Sports,SP1000,1,1242.0
2,110633,1997-03-25,Gardening,GD2200,1,1243.0
3,111155,1997-03-28,Pets,PT1300,3,1244.0
4,126867,1997-06-22,Toys,TY4100,1,1245.0
5,135872,1997-08-08,Toys,TY1200,4,1246.0
6,135872,1997-08-08,Toys,TY2100,1,1247.0
7,135872,1997-08-08,Toys,TY2300,1,1248.0
8,135872,1997-08-08,Toys,TY4100,1,1249.0
9,140623,1997-09-02,Software,SW8511,4,125.0
10,141408,1997-09-06,Sports,SP1500,1,1250.0
11,168285,1998-02-01,Gardening,GD3100,3,1251.0
12,168285,1998-02-01,Gardening,GD3300,1,1252.0
13,168285,1998-02-01,Gardening,GD3400,1,1253.0
14,168285,1998-02-01,Gardening,GD4300,3,1254.0
15,243353,1998-04-07,Software,SW5338,2,1255.0
16,243377,1998-04-24,Pets,PT2300,2,1256.0
17,243377,1998-04-24,Pets,PT2400,2,1257.0
18,207772,1998-08-02,Sports,SP1200,1,1258.0
19,213285,1998-08-25,Toys,TY3700,3,1259.0
20,225108,1998-10-14,Pets,PT3100,1,126.0
21,236334,1998-12-01,Toys,TY1600,1,1260.0
22,126867,2000-09-29,Toys,TY4100,1,1261.0
23,135872,2000-11-15,Toys,TY1200,4,1262.0
24,135872,2000-11-15,Toys,TY2100,1,1263.0
25,135872,2000-11-15,Toys,TY2300,1,1264.0
26,135872,2000-11-15,Toys,TY4100,1,1265.0
27,140623,2000-12-10,Software,SW8511,4,1266.0
28,118448,1997-05-08,Pets,PT3500,3,1267.0
29,121273,1997-05-23,Toys,TY1800,2,1268.0
30,143116,1997-09-15,Sports,SP2400,4,1269.0
31,157565,1997-12-01,Sports,SP2700,4,127.0
32,170191,1998-02-12,Pets,PT4300,1,1270.0
33,243375,1998-04-21,Sports,SP1600,2,1271.0
34,243375,1998-04-21,Sports,SP2000,3,1272.0
35,243375,1998-04-21,Sports,SP3000,4,1273.0
36,184709,1998-04-24,Pets,PT3300,1,1274.0
37,184709,1998-04-24,Pets,PT3300,1,1275.0
38,184709,1998-04-24,Pets,PT4200,1,1276.0
39,184709,1998-04-24,Pets,PT4500,1,1277.0
40,196588,1998-06-15,Gardening,GD1001,1,1278.0
41,196588,1998-06-15,Gardening,GD1400,1,1279.0
42,196588,1998-06-15,Gardening,GD4000,1,128.0
43,203157,1998-07-13,Toys,TY4700,1,1280.0
44,204292,1998-07-18,Sports,SP1100,2,1281.0
45,227219,1998-10-23,Sports,SP1500,1,1282.0
46,232145,1998-11-13,Software,SW3895,1,1283.0
47,240570,1998-12-19,Pets,PT3300,1,1284.0
48,240783,1998-12-20,Toys,TY5200,4,1285.0
49,242124,1998-12-26,Collectibles,CC3200,1,1286.0
50,118448,2000-08-15,Pets,PT3500,3,1287.0
51,121273,2000-08-30,Toys,TY1800,2,1288.0
52,170191,2001-05-22,Pets,PT4300,1,1289.0
53,100376,1997-01-15,Pets,PT2100,1,129.0
54,142332,1997-09-11,Toys,TY1100,2,1290.0
55,142332,1997-09-11,Toys,TY3200,2,1291.0
56,142332,1997-09-11,Toys,TY4200,1,1292.0
57,142332,1997-09-11,Toys,TY5300,1,1293.0
58,157181,1997-11-29,Sports,SP1200,1,1294.0
59,167282,1998-01-26,Sports,SP2200,1,1295.0
60,167282,1998-01-26,Sports,SP2300,1,1296.0
61,167282,1998-01-26,Sports,SP2400,1,1297.0
62,176148,1998-03-15,Software,SW7935,1,1298.0
