ID,TYPE,DESCRIP,PRICE,COST,PCODE,SUPPLIER
1,Database,Track-It-All,560.0,425.0,SW1005,"Software America, Inc."
2,Database,Omnibus,499.95,450.0,SW1207,Software America
3,Database,Balboa,499.0,300.0,SW3049,Software America
4,Financial,Stock Market Analyst,69.95,45.0,SW2842,Software America
5,Financial,Tax Relief (Version 10.40),77.95,54.5,SW4187,Software America
6,Financial,Family Budget Minder,39.99,29.0,SW5901,Software America
7,Games,Quest for the King's Ear,29.5,22.75,SW1991,Software America
8,Games,Dazed Knights Tournament,29.0,22.3,SW2123,"Software America, Inc."
9,Games,Chessmate,35.5,29.0,SW3625,Software America
10,Games,Beat the Casino,49.95,34.0,SW3802,Software America
11,Games,F-123 Fright Stimulator,85.5,56.0,SW3895,Software America
12,Games,War of the Words,25.0,22.0,SW4155,Software America
13,Games,Zoot Suit Zeke,36.5,29.4,SW5338,"Software America, Incorporated"
14,Games,Surgical Shortcuts,23.95,19.0,SW6269,Software America
15,Games,Deviant Sumo Lizards,49.0,39.0,SW6531,Software America
16,Games,Foxtrot and Tango II,49.95,34.0,SW7935,Software America
17,Games,Vanna Visits Vancouver,115.0,84.0,SW9521,Software America
18,Games,Battle for the Seas,189.99,142.5,SW9604,Software America
19,Games,"Flys, Hooks, and Bobbers",19.95,9.0,SW9782,Software America
20,Graphics,Easy Draw,120.5,98.0,SW1526,Office Solutions
21,General,Pixel Perfect,329.95,244.5,SW3545,Office Solutions
22,Graphics,Radcliffe Graphics,585.95,396.3,SW3617,"Office Solutions, Inc."
23,Graphics,Topspot 4.0,99.95,89.95,SW3909,Office Solutions Co.
24,Graphics,Paintit Deluxe,150.5,128.45,SW4550,Office Solutions
25,Graphics,DaVinci Draws,299.95,250.0,SW4773,"Software America Company, Inc."
26,Graphics,Painter's Choice,89.95,59.75,SW4792,Software America
27,Graphics,Professional Draw,105.0,89.95,SW7013,Software America
28,Graphics,Colorama,49.95,39.95,SW7221,Software America
29,Language,PASCAL,199.95,169.0,SW4575,Programmer's Choice
30,Language,COBOL,139.99,101.0,SW5493,Programmer's Choice
31,Language,LISP,325.5,250.0,SW6132,"Programmer's Coice, Inc."
32,Language,DOS 8.9,499.95,399.0,SW6352,"Programmer's Choice, Inc."
33,Language,FORTRAN,155.95,129.0,SW7383,"Programmer's Choice, Inc."
34,Language,BASIC,125.38,100.0,SW7573,Programmer's Choice
35,Network,Connect-It Plus,325.87,229.99,SW7823,"Software America, Inc."
36,Network,Tete-a-Tete,353.95,232.0,SW8241,Software America
37,Network,Lantastic 5.5,135.5,125.0,SW9023,Software America
38,Publishing,The Word's Out,150.5,125.0,SW7384,"Software America Company, Inc."
39,Publishing,Spel-It-Rite,149.95,99.99,SW7585,Software America
40,Publishing,Desktop Commando,350.0,245.0,SW8376,"Software America, Inc."
41,Publishing,Forms for Bureaucrats,129.0,89.0,SW8511,Software America
42,Spreadsheet,Workmate IV,189.95,149.0,SW2782,JJ Higgins
43,Spreadsheet,Superquik,99.95,85.5,SW2927,JJ Higgins & Company
44,Spreadsheet,Top-To-Bottom,95.95,79.95,SW4323,JJ Higgins & Co.
45,Spreadsheet,Snappy Summary,225.75,178.0,SW5655,JJ Higgins & Company
46,Spreadsheet,Bottom Line,112.5,89.9,SW6180,JJ Higgins & Company
47,Spreadsheet,Fudge-It,155.75,102.0,SW7385,JJ Higgins & Company
48,Spreadsheet,Totals-R-Us,172.5,115.9,SW8001,JJ Higgins & Company
49,Training,Learn LISP,49.95,45.0,SW4831,JJ Higgins
50,Training,"C Si, Si",42.0,35.0,SW5952,"JJ Higgins & Co., Inc."
51,Training,"Easy as Uno, Dos, Tres",30.0,23.0,SW7271,JJ Higgins
52,Utility,Disk Magic,65.95,50.0,SW1612,JJ Higgins
53,Utility,Backtrack,49.95,39.0,SW1807,Software America
54,Utility,Make-a-Copy,95.25,54.8,SW1828,"Software America, Inc."
55,Utility,Virus Innovulator,75.85,59.0,SW2147,"Hardware Concepts, Inc."
56,Utility,Memory Expander,83.95,66.0,SW2181,"Hardware Concepts, Inc."
57,Utility,Uncorrupt,79.95,69.0,SW2288,"Hardware Concepts, Incorporated"
58,Utility,Print-It Fast,81.5,69.0,SW3104,"Hardware Concepts, Inc."
59,Utility,Boffo Buffers,125.3,95.0,SW3482,"Hardware Concepts, Inc."
60,Utility,Expert Backup,175.35,139.0,SW4825,"Hardware Concepts, Inc."
61,Hand Tools,Shovel,15.0,7.0,GD1001,Lands Alive!
62,Hand Tools,Pick,16.0,8.0,GD1010,"Lands Alive!, Inc."
63,Hand Tools,Rake,13.0,6.0,GD1100,Lands Alive!
64,Hand Tools,Ax,21.0,9.0,GD1200,Lands Alive!
